date,underlying,volume,open,high,low
07-26 09:58:17:160744,194.4152,2,193.67,194.72,193.32
07-26 09:58:18:166193,194.42,1,193.67,194.72,193.32
07-26 09:58:19:177745,194.4042,2,193.67,194.72,193.32
07-26 09:58:20:216522,194.41,1,193.67,194.72,193.32
07-26 09:58:21:182285,194.41,1,193.67,194.72,193.32
07-26 09:58:22:179073,194.41,1,193.67,194.72,193.32
07-26 09:58:23:185585,194.4177,15,193.67,194.72,193.32
07-26 09:58:24:221138,194.41,5,193.67,194.72,193.32
07-26 09:58:25:198421,194.42,1,193.67,194.72,193.32
07-26 09:58:26:225943,194.43,5,193.67,194.72,193.32
07-26 09:58:27:206959,194.46,1,193.67,194.72,193.32
07-26 09:58:28:231518,194.4399,5,193.67,194.72,193.32
07-26 09:58:29:236866,194.43,2,193.67,194.72,193.32
07-26 09:58:30:200029,194.44,4,193.67,194.72,193.32
07-26 09:58:31:243548,194.41,1,193.67,194.72,193.32
07-26 09:58:32:204864,194.41,1,193.67,194.72,193.32
07-26 09:58:33:215441,194.395,1,193.67,194.72,193.32
07-26 09:58:34:203587,194.39,1,193.67,194.72,193.32
07-26 09:58:35:245955,194.39,1,193.67,194.72,193.32
07-26 09:58:36:255601,194.38,1,193.67,194.72,193.32
07-26 09:58:37:221266,194.38,1,193.67,194.72,193.32
07-26 09:58:38:229264,194.3902,4,193.67,194.72,193.32
07-26 09:58:39:270409,194.36,1,193.67,194.72,193.32
07-26 09:58:40:222799,194.325,1,193.67,194.72,193.32
07-26 09:58:41:234954,194.3289,9,193.67,194.72,193.32
07-26 09:58:42:267076,194.325,2,193.67,194.72,193.32
07-26 09:58:43:276763,194.301,1,193.67,194.72,193.32
07-26 09:58:44:265744,194.3,1,193.67,194.72,193.32
07-26 09:58:45:230736,194.29,1,193.67,194.72,193.32
07-26 09:58:46:234934,194.275,2,193.67,194.72,193.32
07-26 09:58:47:236083,194.28,10,193.67,194.72,193.32
07-26 09:58:48:272967,194.2655,3,193.67,194.72,193.32
07-26 09:58:49:239097,194.265,1,193.67,194.72,193.32
07-26 09:58:50:238738,194.2811,2,193.67,194.72,193.32
07-26 09:58:51:257245,194.285,2,193.67,194.72,193.32
07-26 09:58:52:293200,194.27,1,193.67,194.72,193.32
07-26 09:58:53:298019,194.2678,5,193.67,194.72,193.32
07-26 09:58:54:262560,194.265,4,193.67,194.72,193.32
